"text","mentions","in_reply_to","created_at","url"
"The QAnon view of the Trump indictments: it's all about the Monroe Doctrine (????) https://t.co/i9jSjS2ycU","","","2023-06-09T18:21:15.000Z","https://twitter.com/AricToler/status/1667235423846801426"
"smoothie king scandal for providing dual-use technology to iran???????","@DoubleDiagram ","@AricToler How many of these companies have been in trouble for something before? haha https://t.co/rnuCj3Ee8Z","2023-06-09T17:25:47.000Z","https://twitter.com/AricToler/status/1667221466713079808"
"Yet again, Orlando's arena is named after a pyramid scheme, so not like NBA arena naming rights are sacred","","Still can't believe that the Lakers and Heat arenas were named after crypto scams, thank god we won't hear ""Tipping off at the crypto dot com arena"" again on a broadcast. https://t.co/REECQ8Jyd7","2023-06-09T17:18:32.000Z","https://twitter.com/AricToler/status/1667219641200984069"
"Still can't believe that the Lakers and Heat arenas were named after crypto scams, thank god we won't hear ""Tipping off at the crypto dot com arena"" again on a broadcast. https://t.co/REECQ8Jyd7","","","2023-06-09T17:17:08.000Z","https://twitter.com/AricToler/status/1667219290565558281"
"Timeline of the alleged booms, for clarity -- unclear where the reported detection that the US spy satellite caught (if true, would likely be for the 2:20 one?)
https://t.co/p9d9eykO8i","","Depending on how you feel about anonymous US intel leaks, this would be the biggest hard data point that it was an intentional explosion that ruptured the dam: https://t.co/Xvms8IrW7D","2023-06-09T16:06:48.000Z","https://twitter.com/AricToler/status/1667201587037585410"
"LinkedIn emails are comically easy to find though, as they were all leaked","@gkq4szjbwj ","@AricToler I don’t think it’s a test.

Much more likely they are trying to get her email, and are using the “test” as a lure?

Ofc the email could be using a spoofed address or hack to give legitimacy.

But the institute is probably too obscure?","2023-06-09T15:16:25.000Z","https://twitter.com/AricToler/status/1667188910277943297"
"Hahaha this is insane, and whoever designed this test is insane for using the one major social network on earth where you can see when people knock on the door of your profile https://t.co/tFtHGzpc3D","","","2023-06-09T15:03:52.000Z","https://twitter.com/AricToler/status/1667185752550121475"
"The NORSAR detection is 30+min after initial reports of the rupture, so may be different events.","@polidemitolog ","@AricToler This is in line with the claims of Norwegian seismologists.

https://t.co/TZ3l4p1H8f","2023-06-09T14:01:48.000Z","https://twitter.com/AricToler/status/1667170130764152832"
"Depending on how you feel about anonymous US intel leaks, this would be the biggest hard data point that it was an intentional explosion that ruptured the dam: https://t.co/Xvms8IrW7D","","There isn't a real track record of the SBU fabricating and faking intercepted calls, but they provide no information on the two guys' roles/locations -- just that one is a ""Russian soldier"" (російський військовий). Maybe they're in Nova Kakhovka, maybe they're in Donetsk, no clue","2023-06-09T13:59:22.000Z","https://twitter.com/AricToler/status/1667169520673234944"
"There isn't a real track record of the SBU fabricating and faking intercepted calls, but they provide no information on the two guys' roles/locations -- just that one is a ""Russian soldier"" (російський військовий). Maybe they're in Nova Kakhovka, maybe they're in Donetsk, no clue","","(More context on the call: They don't name the people in the call. At the beginning of the chat, one guy recalls something he read on Telegram. So, it's unclear if these are people who actually intimately know what happened, or gossiping on what they've read online)","2023-06-09T13:16:16.000Z","https://twitter.com/AricToler/status/1667158672009580545"
"(More context on the call: They don't name the people in the call. At the beginning of the chat, one guy recalls something he read on Telegram. So, it's unclear if these are people who actually intimately know what happened, or gossiping on what they've read online)","","The SBU published an intercepted phone call allegedly between two Russians, saying that their side botched the explosion.
https://t.co/ed9544swKb","2023-06-09T13:11:44.000Z","https://twitter.com/AricToler/status/1667157533436305408"
"The SBU published an intercepted phone call allegedly between two Russians, saying that their side botched the explosion.
https://t.co/ed9544swKb","","Also on the gap between the initial reports and the NORSARS reading: this video showing a ruptured dam was supposedly taken at 2:45am, but take the timestamp with a few grains of salt considering the source. https://t.co/IWyFc2sVxC","2023-06-09T12:26:05.000Z","https://twitter.com/AricToler/status/1667146041735409665"
"Also on the gap between the initial reports and the NORSARS reading: this video showing a ruptured dam was supposedly taken at 2:45am, but take the timestamp with a few grains of salt considering the source. https://t.co/IWyFc2sVxC","","Linked earlier in the thread, but these are the messages of locals in a pro-UA Telegram group being woken up from loud blasts at ~2:18-23am. The seismographic reading was from 2:55am. 
(My time zone, in the Telegram timestamps, is 8 hours behind Kherson) https://t.co/UuuSWuiYfL","2023-06-09T12:22:36.000Z","https://twitter.com/AricToler/status/1667145167126528000"
